REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal
,,,,,,0.0020284749742013,0.0047130315719393,False,,,,,,
,,,,,,,,,0.0036247544549758,0.009844195584958,False,,,
,,,,,,,,,,,,0.0016326297054163,0.0030595929718458,True
0.0005913212122559,0.000707961230855,True,,,,,,,,,,,,
,,,0.0004757051198402,0.0002698197689654,True,,,,,,,,,
,,,,,,0.0003213618063816,0.0013972365063427,False,,,,,,
,,,,,,,,,0.0010661485027077,0.004108597768321,True,,,
,,,,,,,,,,,,0.0010245209203146,0.0028349586258113,False
0.0004460804450945,0.0014648698499419,True,,,,,,,,,,,,
,,,0.0003138326477415,0.000417922678007,True,,,,,,,,,
,,,,,,0.0005815673788045,0.000864777859344,True,,,,,,
,,,,,,,,,0.0039112748987952,0.0066537122954998,False,,,
,,,,,,,,,,,,0.0020347313883945,0.0030387572151515,True
0.0003165656331247,0.0015031786398455,False,,,,,,,,,,,,
,,,0.0002629410413234,0.0007832504413071,True,,,,,,,,,
,,,,,,0.0012255567543765,0.0022280945784766,False,,,,,,
,,,,,,,,,0.004672737380445,0.0112779045729208,False,,,
,,,,,,,,,,,,0.0003365355225796,0.0038671490666857,False
0.0008922863858677,0.0014833177161539,True,,,,,,,,,,,,
,,,0.0003363752326983,0.0005744542329396,True,,,,,,,,,
,,,,,,0.0010342564629642,0.0016181170125804,True,,,,,,
,,,,,,,,,0.0063862988768569,0.0080871616846425,False,,,
,,,,,,,,,,,,0.0024617537512396,0.0035538832691068,False
0.0003403551152424,0.0014867831312301,True,,,,,,,,,,,,
,,,0.0004851260458622,0.001134953542774,True,,,,,,,,,
,,,,,,0.0006754508038979,0.0016165227830609,True,,,,,,
,,,,,,,,,0.0048116025683614,0.0090332474922198,False,,,
,,,,,,,,,,,,0.0023440898733349,0.0040872606321018,True
0.0004236886053567,0.0016439044248342,True,,,,,,,,,,,,
,,,0.0004198570562755,0.0005692982435847,True,,,,,,,,,
,,,,,,0.00070074356075,0.0012765733215803,True,,,,,,
,,,,,,,,,0.0017563924166795,0.0060515357478184,True,,,
,,,,,,,,,,,,0.0005692228819814,0.0034747562671826,True
0.001460746239403,0.0014307862122826,True,,,,,,,,,,,,
,,,0.000175440070165,0.0004873501473355,True,,,,,,,,,
,,,,,,0.0002018861101197,0.0009865490342966,True,,,,,,
,,,,,,,,,0.0034281263994239,0.0059260874891608,False,,,
,,,,,,,,,,,,0.0013794046454544,0.0032878957667018,True
0.001273220612458,0.0020112990069875,True,,,,,,,,,,,,
,,,0.0001089571957862,0.0008798532382676,True,,,,,,,,,
,,,,,,0.0004484651442992,0.0017895385945969,True,,,,,,
,,,,,,,,,0.000939777679126,0.008080039252886,False,,,
,,,,,,,,,,,,0.0013309483807146,0.0035127400090806,True
0.0011050873537398,0.000978569439659,True,,,,,,,,,,,,
,,,0.001235497647956,0.0005968789578531,True,,,,,,,,,
,,,,,,0.0015073764123183,0.0029839194985059,False,,,,,,
,,,,,,,,,0.0022542979953661,0.0068747533498458,False,,,
,,,,,,,,,,,,0.0010653445858661,0.0023782435983012,True
0.000576409609242,0.0011117387884705,True,,,,,,,,,,,,
,,,0.0002695242255538,0.0005826254863267,True,,,,,,,,,
,,,,,,0.0023572911793459,0.0020660252426926,False,,,,,,
,,,,,,,,,0.0036757886421764,0.0063907711333448,False,,,
,,,,,,,,,,,,0.0013364925788956,0.0028980057864593,True
0.0003510896355563,0.00094541076067,True,,,,,,,,,,,,
,,,0.0002499610225487,0.0005360423375292,True,,,,,,,,,
,,,,,,0.0010059857784546,0.0031611398121991,True,,,,,,
,,,,,,,,,0.0046979673460453,0.0090768249309329,False,,,
,,,,,,,,,,,,0.0010423479535612,0.002645827411649,True
0.0006219067940925,0.0024617985455291,True,,,,,,,,,,,,
,,,0.0009181524655608,0.0009429073106592,True,,,,,,,,,
,,,,,,0.0001173490782644,0.0027269710098321,True,,,,,,
,,,,,,,,,0.000342243121684,0.0109963029672199,False,,,
,,,,,,,,,,,,0.0020074179139222,0.004505329379257,True
0.0016876957059774,0.0009820622554912,True,,,,,,,,,,,,
,,,0.0004312130989554,0.0005487522745339,True,,,,,,,,,
,,,,,,0.0003883507097114,0.001150793483134,True,,,,,,
,,,,,,,,,0.0080449241656567,0.0072619494184338,False,,,
,,,,,,,,,,,,0.0020551077340945,0.002574586485128,True
0.0002301593190408,0.0031336880278794,True,,,,,,,,,,,,
,,,0.0003003616914401,0.0011741669847429,True,,,,,,,,,
,,,,,,0.0003700704842726,0.0025946761833212,True,,,,,,
,,,,,,,,,0.0032279359725909,0.0144896142067477,False,,,
,,,,,,,,,,,,0.0013258778073961,0.0058852824320416,True
0.0006441027639014,0.0013632988498388,False,,,,,,,,,,,,
,,,0.000536480873894,0.0004768132678063,True,,,,,,,,,
,,,,,,0.0006246190597316,0.001439177328761,False,,,,,,
,,,,,,,,,0.0030245777710338,0.0062139693250754,False,,,
,,,,,,,,,,,,0.0013131217811806,0.0027671778199932,True
0.0013095273748723,0.0019035797124276,True,,,,,,,,,,,,
,,,0.0016048912369607,0.0008866183244132,True,,,,,,,,,
,,,,,,0.0005905656612939,0.0014860029033776,True,,,,,,
,,,,,,,,,0.0059500913862199,0.0140195669378261,False,,,
,,,,,,,,,,,,0.0008687455617066,0.0051134921036806,True
0.0005968359503984,0.0016760389477192,True,,,,,,,,,,,,
,,,0.0001973780273736,0.000544688580428,True,,,,,,,,,
,,,,,,0.0004543890790532,0.0006624895022555,True,,,,,,
